r_date;fact
2017-01-03;907
2017-01-04;5721
2017-01-05;4254
2017-01-06;3571
2017-01-07;112
2017-01-08;13362
2017-01-09;17228
2017-01-10;21442
2017-01-11;20216
2017-01-12;18440
2017-01-13;19919
2017-01-14;11984
2017-01-15;6784
2017-01-16;13801
2017-01-17;14378
2017-01-18;16475
2017-01-19;12932
2017-01-20;14533
2017-01-21;12575
2017-01-22;8612
2017-01-23;11792
2017-01-24;17123
2017-01-25;17210
2017-01-26;12430
2017-01-27;10876
2017-01-28;11711
2017-01-29;9643
2017-01-30;10967
2017-01-31;20679
2017-02-01;16501
2017-02-02;19451
2017-02-03;15144
2017-02-04;11220
2017-02-05;7764
2017-02-06;12449
2017-02-07;13527
2017-02-08;14359
2017-02-09;12445
2017-02-10;15644
2017-02-11;10202
2017-02-12;8968
2017-02-13;12327
2017-02-14;16313
2017-02-15;18598
2017-02-16;20213
2017-02-17;17864
2017-02-18;14101
2017-02-19;12196
2017-02-20;11062
2017-02-21;16113
2017-02-22;15018
2017-02-23;12271
2017-02-24;13277
2017-02-25;5787
2017-02-26;8754
2017-02-27;12300
2017-02-28;17478
2017-03-01;20075
2017-03-02;14788
2017-03-03;12159
2017-03-04;11858
2017-03-05;11811
2017-03-06;12437
2017-03-07;20616
2017-03-08;12921
2017-03-09;6062
2017-03-10;20751
2017-03-11;11543
2017-03-12;12157
2017-03-13;7680
2017-03-14;16930
2017-03-15;13973
2017-03-16;17943
2017-03-17;17414
2017-03-18;9109
2017-03-19;9481
2017-03-20;9821
2017-03-21;15078
2017-03-22;15010
2017-03-23;14302
2017-03-24;19657
2017-03-25;10893
2017-03-26;17056
2017-03-27;8870
2017-03-28;18659
2017-03-29;12648
2017-03-30;18970
2017-03-31;14930
2017-04-01;9809
2017-04-02;11054
2017-04-03;10655
2017-04-04;17753
2017-04-05;15651
2017-04-06;15539
2017-04-07;14878
2017-04-08;7458
2017-04-09;8608
2017-04-10;9645
2017-04-11;13325
2017-04-12;18079
2017-04-13;17991
2017-04-14;19400
2017-04-15;12702
2017-04-16;6371
2017-04-17;16717
2017-04-18;16743
2017-04-19;17792
2017-04-20;16307
2017-04-21;16041
2017-04-22;8907
2017-04-23;10481
2017-04-24;10178
2017-04-25;16565
2017-04-26;14705
2017-04-27;17641
2017-04-28;17800
2017-04-29;12545
2017-04-30;9446
2017-05-01;7473
2017-05-02;9780
2017-05-03;18166
2017-05-04;17380
2017-05-05;20076
2017-05-06;9286
2017-05-07;8569
2017-05-08;7065
2017-05-09;8631
2017-05-10;13106
2017-05-11;15855
2017-05-12;18449
2017-05-13;10738
2017-05-14;11466
2017-05-15;10073
2017-05-16;16736
2017-05-17;18766
2017-05-18;12534
2017-05-19;19788
2017-05-20;9906
2017-05-21;7446
2017-05-22;16744
2017-05-23;15851
2017-05-24;17278
2017-05-25;19141
2017-05-26;16064
2017-05-27;11129
2017-05-28;11625
2017-05-29;9584
2017-05-30;15859
2017-05-31;18131
2017-06-01;17568
2017-06-02;18584
2017-06-03;11919
2017-06-04;12788
2017-06-05;9010
2017-06-06;19133
2017-06-07;14715
2017-06-08;17020
2017-06-09;17448
2017-06-10;10222
2017-06-11;9106
2017-06-12;7634
2017-06-13;8835
2017-06-14;13163
2017-06-15;12605
2017-06-16;14834
2017-06-17;13384
2017-06-18;7750
2017-06-19;13000
2017-06-20;17932
2017-06-21;12583
2017-06-22;13299
2017-06-23;17834
2017-06-24;8396
2017-06-25;10644
2017-06-26;13778
2017-06-27;18285
2017-06-28;13316
2017-06-29;17093
2017-06-30;15779
2017-07-01;10583
2017-07-02;6304
2017-07-03;7819
2017-07-04;15008
2017-07-05;15486
2017-07-06;12127
2017-07-07;13122
2017-07-08;14975
2017-07-09;11956
2017-07-10;11316
2017-07-11;14907
2017-07-12;13717
2017-07-13;15729
2017-07-14;17674
2017-07-15;17450
2017-07-16;9198
2017-07-17;8154
2017-07-18;16003
2017-07-19;12708
2017-07-20;19090
2017-07-21;18244
2017-07-22;10983
2017-07-23;5888
2017-07-24;12267
2017-07-25;14997
2017-07-26;13884
2017-07-27;14076
2017-07-28;21808
2017-07-29;16443
2017-07-30;5281
2017-07-31;15925
2017-08-01;16618
2017-08-02;12111
2017-08-03;11797
2017-08-04;15104
2017-08-05;15727
2017-08-06;12570
2017-08-07;11465
2017-08-08;15290
2017-08-09;11676
2017-08-10;17275
2017-08-11;19131
2017-08-12;9154
2017-08-13;4101
2017-08-14;12060
2017-08-15;19189
2017-08-16;13899
2017-08-17;18630
2017-08-18;16555
2017-08-19;12866
2017-08-20;9910
2017-08-21;9446
2017-08-22;19118
2017-08-23;13373
2017-08-24;14845
2017-08-25;18942
2017-08-26;16297
2017-08-27;7715
2017-08-28;10019
2017-08-29;20041
2017-08-30;15417
2017-08-31;17332
2017-09-01;17946
2017-09-02;16842
2017-09-03;11628
2017-09-04;11123
2017-09-05;20283
2017-09-06;15838
2017-09-07;16249
2017-09-08;17924
2017-09-09;12731
2017-09-10;6416
2017-09-11;12454
2017-09-12;15154
2017-09-13;16504
2017-09-14;23682
2017-09-15;22847
2017-09-16;13809
2017-09-17;13023
2017-09-18;11603
2017-09-19;19170
2017-09-20;14373
2017-09-21;18387
2017-09-22;19479
2017-09-23;16945
2017-09-24;13801
2017-09-25;10755
2017-09-26;16402
2017-09-27;21606
2017-09-28;19394
2017-09-29;15405
2017-09-30;17832
2017-10-01;11148
2017-10-02;10728
2017-10-03;23007
2017-10-04;17307
2017-10-05;16685
2017-10-06;17236
2017-10-07;13873
2017-10-08;16295
2017-10-09;17928
2017-10-10;20730
2017-10-11;18796
2017-10-12;17063
2017-10-13;20290
2017-10-14;17419
2017-10-15;12839
2017-10-16;13887
2017-10-17;18430
2017-10-18;19429
2017-10-19;21800
2017-10-20;13787
2017-10-21;12652
2017-10-22;14503
2017-10-23;16647
2017-10-24;24319
2017-10-25;22691
2017-10-26;23098
2017-10-27;20236
2017-10-28;18202
2017-10-29;6089
2017-10-30;13170
2017-10-31;23464
2017-11-01;18443
2017-11-02;23143
2017-11-03;15771
2017-11-04;12255
2017-11-05;12155
2017-11-06;3452
2017-11-07;6478
2017-11-08;10832
2017-11-09;13978
2017-11-10;21662
2017-11-11;18140
2017-11-12;20593
2017-11-13;13640
2017-11-14;16028
2017-11-15;19693
2017-11-16;22736
2017-11-17;24280
2017-11-18;27319
2017-11-19;27464
2017-11-20;16893
2017-11-21;24416
2017-11-22;27654
2017-11-23;26836
2017-11-24;18266
2017-11-25;31998
2017-11-26;11903
2017-11-27;18120
2017-11-28;32019
2017-11-29;25408
2017-11-30;25819
2017-12-01;23410
2017-12-02;28894
2017-12-03;13491
2017-12-04;15983
2017-12-05;32935
2017-12-06;21486
2017-12-07;27639
2017-12-08;23050
2017-12-09;15907
2017-12-10;8774
2017-12-11;11607
2017-12-12;26425
2017-12-13;23952
2017-12-14;34983
2017-12-15;34558
2017-12-16;29414
2017-12-17;27495
2017-12-18;15471
2017-12-19;34084
2017-12-20;40111
2017-12-21;26677
2017-12-22;25498
2017-12-23;25570
2017-12-24;21674
2017-12-25;14019
2017-12-26;36413
2017-12-27;36405
2017-12-28;26195
2017-12-29;18772
2017-12-30;18253
2017-12-31;4212
2018-01-02;1
2018-01-03;622
2018-01-04;9951
2018-01-05;16832
2018-01-06;13827
2018-01-07;421
2018-01-08;14863
2018-01-09;13440
2018-01-10;26296
2018-01-11;25604
2018-01-12;33602
2018-01-13;30949
2018-01-14;11066
2018-01-15;13297
2018-01-16;27635
2018-01-17;24621
2018-01-18;22953
2018-01-19;26773
2018-01-20;26290
2018-01-21;13643
2018-01-22;14687
2018-01-23;23211
2018-01-24;20695
2018-01-25;29776
2018-01-26;21851
2018-01-27;22242
2018-01-28;23136
2018-01-29;11259
2018-01-30;25838
2018-01-31;22581
2018-02-01;24362
2018-02-02;27077
2018-02-03;24008
2018-02-04;18277
2018-02-05;18375
2018-02-06;24843
2018-02-07;23665
2018-02-08;27881
2018-02-09;24784
2018-02-10;30311
2018-02-11;13410
2018-02-12;14474
2018-02-13;23394
2018-02-14;31553
2018-02-15;33607
2018-02-16;21513
2018-02-17;28162
2018-02-18;14539
2018-02-19;14238
2018-02-20;32859
2018-02-21;23195
2018-02-22;18380
2018-02-23;16588
2018-02-24;11759
2018-02-25;9050
2018-02-26;15078
2018-02-27;34946
2018-02-28;34460
2018-03-01;22515
2018-03-02;25508
2018-03-03;28354
2018-03-04;20235
2018-03-05;11123
2018-03-06;22912
2018-03-07;22924
2018-03-08;18363
2018-03-09;10015
2018-03-10;12586
2018-03-11;16392
2018-03-12;14958
2018-03-13;29039
2018-03-14;36809
2018-03-15;22047
2018-03-16;25512
2018-03-17;22114
2018-03-18;4296
2018-03-19;26759
2018-03-20;23952
2018-03-21;28186
2018-03-22;26152
2018-03-23;23594
2018-03-24;25077
2018-03-25;19495
2018-03-26;11623
2018-03-27;25956
2018-03-28;23113
2018-03-29;28982
2018-03-30;24210
2018-03-31;22185
2018-04-01;14227
