r_date;warehouse_id;measure_unit_id;fact;type_flow_id
2019-01-01;28999900;1;0;1
2019-01-01;28999900;1;0;2
2019-01-01;28999900;1;0;3
2019-01-02;28999900;1;2;1
2019-01-02;28999900;1;0;2
2019-01-02;28999900;1;0;3
2019-01-03;28999900;1;1919;1
2019-01-03;28999900;1;1470;2
2019-01-03;28999900;1;2;3
2019-01-04;28999900;1;25241;1
2019-01-04;28999900;1;8990;2
2019-01-04;28999900;1;897;3
2019-01-05;28999900;1;29824;1
2019-01-05;28999900;1;11201;2
2019-01-05;28999900;1;633;3
2019-01-06;28999900;1;16567;1
2019-01-06;28999900;1;5414;2
2019-01-06;28999900;1;207;3
2019-01-07;28999900;1;6852;1
2019-01-07;28999900;1;2334;2
2019-01-07;28999900;1;760;3
2019-01-08;28999900;1;19554;1
2019-01-08;28999900;1;6978;2
2019-01-08;28999900;1;461;3
2019-01-09;28999900;1;26472;1
2019-01-09;28999900;1;9848;2
2019-01-09;28999900;1;1078;3
2019-01-10;28999900;1;33603;1
2019-01-10;28999900;1;15705;2
2019-01-10;28999900;1;2386;3
2019-01-11;28999900;1;32939;1
2019-01-11;28999900;1;15314;2
2019-01-11;28999900;1;3003;3
2019-01-12;28999900;1;23114;1
2019-01-12;28999900;1;11153;2
2019-01-12;28999900;1;2688;3
2019-01-13;28999900;1;18597;1
2019-01-13;28999900;1;8184;2
2019-01-13;28999900;1;1900;3
2019-01-14;28999900;1;26301;1
2019-01-14;28999900;1;11453;2
2019-01-14;28999900;1;1764;3
2019-01-15;28999900;1;31862;1
2019-01-15;28999900;1;15270;2
2019-01-15;28999900;1;3076;3
2019-01-16;28999900;1;26761;1
2019-01-16;28999900;1;15149;2
2019-01-16;28999900;1;3503;3
2019-01-17;28999900;1;20721;1
2019-01-17;28999900;1;14020;2
2019-01-17;28999900;1;2917;3
2019-01-18;28999900;1;34271;1
2019-01-18;28999900;1;15944;2
2019-01-18;28999900;1;3095;3
2019-01-19;28999900;1;25204;1
2019-01-19;28999900;1;12693;2
2019-01-19;28999900;1;3173;3
2019-01-20;28999900;1;19078;1
2019-01-20;28999900;1;10106;2
2019-01-20;28999900;1;1555;3
2019-01-21;28999900;1;20184;1
2019-01-21;28999900;1;7425;2
2019-01-21;28999900;1;424;3
2019-01-22;28999900;1;25651;1
2019-01-22;28999900;1;14544;2
2019-01-22;28999900;1;2795;3
2019-01-23;28999900;1;34537;1
2019-01-23;28999900;1;17011;2
2019-01-23;28999900;1;2706;3
2019-01-24;28999900;1;31647;1
2019-01-24;28999900;1;14763;2
2019-01-24;28999900;1;3099;3
2019-01-25;28999900;1;29996;1
2019-01-25;28999900;1;14077;2
2019-01-25;28999900;1;2758;3
2019-01-26;28999900;1;24820;1
2019-01-26;28999900;1;12049;2
2019-01-26;28999900;1;2614;3
2019-01-27;28999900;1;15904;1
2019-01-27;28999900;1;8100;2
2019-01-27;28999900;1;1870;3
2019-01-28;28999900;1;22205;1
2019-01-28;28999900;1;9669;2
2019-01-28;28999900;1;859;3
2019-01-29;28999900;1;32053;1
2019-01-29;28999900;1;14642;2
2019-01-29;28999900;1;2688;3
2019-01-30;28999900;1;36585;1
2019-01-30;28999900;1;16417;2
2019-01-30;28999900;1;2740;3
2019-01-31;28999900;1;32770;1
2019-01-31;28999900;1;14750;2
2019-01-31;28999900;1;2645;3
2019-02-01;28999900;1;24595;1
