r_date;1;2;3
2019-01-02;2;;
2019-01-03;1919;1470;2
2019-01-04;25241;8990;897
2019-01-05;29824;11201;633
2019-01-06;16567;5414;207
2019-01-07;6852;2334;760
2019-01-08;19554;6978;461
2019-01-09;26472;9848;1078
2019-01-10;33603;15705;2386
2019-01-11;32939;15314;3003
2019-01-12;23114;11153;2688
2019-01-13;18597;8184;1900
2019-01-14;26301;11453;1764
2019-01-15;31862;15270;3076
2019-01-16;26761;15149;3503
2019-01-17;20721;14020;2917
2019-01-18;34271;15944;3095
2019-01-19;25204;12693;3173
2019-01-20;19078;10106;1555
2019-01-21;20184;7425;424
2019-01-22;25651;14544;2795
2019-01-23;34537;17011;2706
2019-01-24;31647;14763;3099
2019-01-25;29996;14077;2758
2019-01-26;24820;12049;2614
2019-01-27;15904;8100;1870
2019-01-28;22205;9669;859
2019-01-29;32052;14642;2688
2019-01-30;36585;16417;2740
2019-01-31;32770;14750;2645
2019-02-01;24595;13445;2979
2019-02-02;29131;14134;3045
2019-02-03;36625;14524;2265
2019-02-04;26582;10530;812
2019-02-05;33792;15741;2492
2019-02-06;36480;14910;2718
2019-02-07;30342;14236;2524
2019-02-08;26639;13672;2653
2019-02-09;37157;17344;3639
2019-02-10;19650;9215;1232
2019-02-11;23050;10256;945
2019-02-12;33253;15417;2506
2019-02-13;30016;15106;3296
2019-02-14;28889;14815;3106
2019-02-15;34021;15543;2606
2019-02-16;24459;12334;2686
2019-02-17;19199;8975;2089
2019-02-18;25656;11208;685
2019-02-19;26400;12788;2417
2019-02-20;35004;16370;2959
2019-02-21;33688;16838;3421
2019-02-22;36001;15424;2646
2019-02-23;26155;11109;2839
2019-02-24;19483;7748;2110
2019-02-25;23399;10240;1203
2019-02-26;27263;14357;2588
2019-02-27;32261;13390;2453
2019-02-28;28119;14910;3630
2019-03-01;33208;15477;2538
2019-03-02;30042;13637;2948
2019-03-03;28307;10092;1592
2019-03-04;24714;11876;908
2019-03-05;33231;16547;2615
2019-03-06;23824;15060;3354
2019-03-07;22536;13437;3092
2019-03-08;35801;15474;2893
2019-03-09;25463;9971;1403
2019-03-10;21329;7441;849
2019-03-11;20587;9631;622
2019-03-12;31136;14060;2686
2019-03-13;34877;15983;3328
2019-03-14;30891;14796;3129
2019-03-15;27977;12055;2639
2019-03-16;27921;12488;2588
2019-03-17;24950;9938;1247
2019-03-18;25612;10929;877
2019-03-19;27769;14781;3318
2019-03-20;27583;13327;3095
2019-03-21;30112;14171;2782
2019-03-22;18940;10850;2962
2019-03-23;26271;11420;2452
2019-03-24;21320;9175;1452
2019-03-25;24975;9916;992
2019-03-26;33620;14657;2615
2019-03-27;36989;16105;3119
2019-03-28;27197;12276;2789
2019-03-29;30660;13943;2828
2019-03-30;21664;10236;2388
2019-03-31;17095;8914;1478
2019-04-01;20477;9211;792
2019-04-02;29369;13185;2383
2019-04-03;37809;15199;3128
2019-04-04;41964;18474;3140
2019-04-05;21674;10951;2432
2019-04-06;14236;8378;2732
2019-04-07;23333;9559;1244
2019-04-08;31525;12455;2441
2019-04-09;31115;15112;3017
2019-04-10;30286;13815;2745
2019-04-11;29478;12558;3021
2019-04-12;33470;15850;3072
2019-04-13;24046;11056;3006
2019-04-14;17854;7650;1073
2019-04-15;30035;12171;1177
2019-04-16;28426;12830;2991
2019-04-17;29361;13561;4493
2019-04-18;34303;14923;2687
2019-04-19;34293;14203;2404
2019-04-20;20612;10515;3517
2019-04-21;25088;8967;1061
2019-04-22;28378;11051;1764
2019-04-23;31503;13206;2802
2019-04-24;27910;11687;3517
2019-04-25;30751;14629;3300
2019-04-26;23067;11310;3108
2019-04-27;28370;12435;2615
2019-04-28;18222;7491;1206
2019-04-29;19662;7640;988
2019-04-30;27317;11949;2626
2019-05-01;18145;7985;2257
2019-05-02;18575;7698;1120
2019-05-03;12923;6297;1417
2019-05-04;19105;6994;1303
2019-05-05;21895;7144;821
2019-05-06;20690;6953;512
2019-05-07;31063;12256;2784
2019-05-08;28946;12368;2711
2019-05-09;13224;6427;2342
2019-05-10;14999;8724;1239
2019-05-11;19675;8284;2120
2019-05-12;30896;9924;955
2019-05-13;17960;8037;880
2019-05-14;23476;10698;2571
2019-05-15;31237;14570;3444
2019-05-16;29002;13569;2829
2019-05-17;22957;11398;2372
2019-05-18;28391;12959;3094
2019-05-19;17990;7749;1330
2019-05-20;26818;11968;1918
2019-05-21;32231;12981;2564
2019-05-22;32104;15222;3018
2019-05-23;26472;11804;2779
2019-05-24;28037;12991;2373
2019-05-25;20152;10922;2912
2019-05-26;13364;5869;1207
2019-05-27;22637;8629;982
2019-05-28;27031;13187;2764
2019-05-29;30698;14465;2530
2019-05-30;34656;16513;3119
2019-05-31;25193;13004;2373
2019-06-01;20274;11507;2446
2019-06-02;15347;8672;1388
2019-06-03;23900;11594;1131
2019-06-04;30378;14082;2724
2019-06-05;32143;12903;2578
2019-06-06;34018;14649;2450
2019-06-07;26062;12592;1826
2019-06-08;24178;11277;2394
2019-06-09;24544;11222;1526
2019-06-10;19204;9188;932
2019-06-11;27981;12343;2342
2019-06-12;24899;11571;2070
2019-06-13;27049;10556;1254
2019-06-14;28186;11755;2394
2019-06-15;23738;12039;2423
2019-06-16;20151;7175;763
2019-06-17;24345;9884;1054
2019-06-18;24371;12274;2568
2019-06-19;31594;14587;2449
2019-06-20;28843;13994;2792
2019-06-21;28636;13935;2654
2019-06-22;21473;10321;2456
2019-06-23;20196;7945;1042
2019-06-24;18656;8756;897
2019-06-25;28502;14189;2502
2019-06-26;28325;12215;2517
2019-06-27;27877;12532;2241
2019-06-28;24649;11614;2310
2019-06-29;25326;11483;2643
2019-06-30;19068;6979;1112
2019-07-01;20325;10749;1572
2019-07-02;27693;13213;2626
2019-07-03;20065;11920;2616
2019-07-04;21443;11190;2637
2019-07-05;20890;10816;2284
2019-07-06;23973;12908;2909
2019-07-07;25410;8720;849
2019-07-08;26627;11978;1035
2019-07-09;38670;14733;2396
2019-07-10;33794;15144;2570
2019-07-11;30966;14645;2368
2019-07-12;23979;10689;2798
2019-07-13;18505;10856;3005
2019-07-14;17022;7779;932
2019-07-15;31649;14337;1733
2019-07-16;26061;12086;2884
2019-07-17;31389;14619;2748
2019-07-18;32812;14325;3167
2019-07-19;25410;12501;2758
2019-07-20;22502;10268;2769
2019-07-21;24868;8975;1032
2019-07-22;22788;10008;1714
2019-07-23;32929;13984;2945
2019-07-24;26198;12089;2707
2019-07-25;28912;14325;3373
2019-07-26;25015;12991;2610
2019-07-27;20543;10710;3016
2019-07-28;24893;9250;1296
2019-07-29;21530;8629;1010
2019-07-30;30502;14331;3415
2019-07-31;29300;13611;3010
2019-08-01;26216;11819;2985
2019-08-02;25439;12199;2875
2019-08-03;22967;10648;2996
2019-08-04;18152;6572;1195
2019-08-05;27799;10776;1199
2019-08-06;31913;14120;3704
2019-08-07;28255;13943;2778
2019-08-08;33573;14802;3692
2019-08-09;31066;12681;2971
2019-08-10;19744;9994;3017
2019-08-11;23770;10099;1495
2019-08-12;26768;11009;1824
2019-08-13;34139;14161;2675
2019-08-14;28798;12865;3563
2019-08-15;30226;14172;3093
2019-08-16;27408;12201;3095
2019-08-17;27495;12470;2848
2019-08-18;13870;8311;2468
2019-08-19;17744;8529;1132
2019-08-20;35000;14223;2548
2019-08-21;30138;14513;3671
2019-08-22;31133;13983;3230
2019-08-23;25269;12357;3142
2019-08-24;26875;11708;3242
2019-08-25;24471;10517;1953
2019-08-26;24741;9784;1202
2019-08-27;29410;13803;3087
2019-08-28;32143;15506;3442
2019-08-29;27477;13727;3438
2019-08-30;28914;12784;3121
2019-08-31;25506;10723;3125
2019-09-01;27171;9977;1726
2019-09-02;28655;12286;1679
2019-09-03;29884;13526;3207
2019-09-04;32907;15127;3335
2019-09-05;26086;12550;2953
2019-09-06;25638;12659;3339
2019-09-07;25187;13739;4455
2019-09-08;18103;9307;2156
2019-09-09;21416;9900;1508
2019-09-10;29448;12785;3518
2019-09-11;33228;15254;3690
2019-09-12;33222;15545;3602
2019-09-13;30834;15103;3087
2019-09-14;28724;14514;4132
2019-09-15;24437;11021;1827
2019-09-16;23923;9570;1132
2019-09-17;32056;13154;3404
2019-09-18;36092;16822;4080
2019-09-19;33373;14388;4465
2019-09-20;31728;15430;3788
2019-09-21;23876;11913;3088
2019-09-22;21432;8245;2236
2019-09-23;29209;11903;1897
2019-09-24;29773;14383;3808
2019-09-25;35190;14500;4162
2019-09-26;31842;14422;3431
2019-09-27;29469;13292;3834
2019-09-28;23728;13474;4939
2019-09-29;23282;11550;1845
2019-09-30;18693;7237;1702
2019-10-01;35634;16461;2662
2019-10-02;26978;14020;5181
2019-10-03;35679;17204;3185
2019-10-04;34730;14905;4206
